Name,"Judet, Location",Phone number,Listing Link,Website,TikTok,Instagram,Facebook,Status,Notes
Casa Delia,"Cluj, Someșu Rece",+40 727 883 299,https://www.airbnb.com/rooms/940198105049622732,,,,,Lead,
CBN Cabana,"Cluj, Muntele Cacovei",+40 750 223 640,https://www.airbnb.com/rooms/1412906500873388465,,,,,Lead,
Scrind 11 Madleine Chalet,"Cluj, Scrind Frăsinet",+40 751 271 063,https://www.booking.com/hotel/ro/scrind-11-madleine-chalet.en-gb.html,https://www.scrind11-madleinechalet.ro/,,,,Lead,
The Hygge House,"Cluj, Plopi",+40 743 253 284,https://www.airbnb.com/rooms/43580098,,,,https://www.facebook.com/thehyggehouseplopi,Lead,
Chalet A Băișoara,"Cluj, Muntele Băișorii",+40 771 434 732,https://wel.ro/cazare-inedita/chalet-a-baisoara/,,,,,Lead,
APUZEN Cabin,"Cluj, Giurcuța de Sus",+40 749 456 303,https://wel.ro/cazare-inedita/apuzen-cabin/,,,,,Lead,
Cabana Coliba,"Cluj, Băișoara",+40 742 922 072,https://wel.ro/cazare-inedita/cabana-coliba/,,,,,Lead,
Cabana Karina,"Cluj, Dealu Negru",+40 722 358 619,https://wel.ro/cazare-inedita/cabana-karina/,,,,,Lead,
Cabana La Vasile,"Cluj, Măguri-Răcătău",+40 744 205 895,https://wel.ro/cazare-inedita/cabana-la-vasile/,,,,,Lead,
Cabana Popasul lui Pintea,"Cluj, Măgoaja",+40 745 677 436,https://wel.ro/cazare-inedita/cabana-popasul-lui-pintea/,,,,,Lead,
Cabana Refugiul Alpin Beliș,"Cluj, Beliș",+40 758 472 969,https://wel.ro/cazare-inedita/cabana-refugiul-alpin-belis/,,,,,Lead,
Cabana Stil-A,"Cluj, Mărișel",+40 740 612 124,https://wel.ro/cazare-inedita/cabana-stil-a/,,,,,Lead,
Cabana Tarța Plopi,"Cluj, Plopi",+40 740 563 669,https://wel.ro/cazare-inedita/cabana-tarta-plopi/,,,,,Lead,
Cabana Vinkiș,"Cluj, Măguri",+40 749 180 394,https://wel.ro/cazare-inedita/cabana-vinkis/,,,,,Lead,
FOREST TALE CABIN,"Cluj, Măguri-Răcătău",+40 747 936 880,https://wel.ro/cazare-inedita/forest-tale-cabin/,,,,,Lead,
Hilltop Măguri,"Cluj, Măguri",+40 757 753 299,https://wel.ro/cazare-inedita/hilltop-maguri/,,,,,Lead,
Lion Cabin,"Cluj, Chiuiești",+40 746 031 414,https://wel.ro/cazare-inedita/lion-cabin/,,,,,Lead,
Old Man's Cabin,"Cluj, Măguri",+40 755 203 198,https://wel.ro/cazare-inedita/old-mans-cabin/,,,,,Lead,
Noah Hill Cabin,"Cluj, Râșca",+40 754 656 051,https://wel.ro/cazare-inedita/noah-hill-cabin/,,,,,Lead,
Story Cabin Lake,"Cluj, Câmpenești",+40 739 962 487,https://wel.ro/cazare-inedita/story-cabin-lake/,,,,,Lead,
